Time,Temperature,cop
3283200,15.17199,0.0
3369600,15.171158,0.0
3456000,15.170368,0.0
3542400,15.169617,0.0
3628800,15.168902,0.0
3715200,15.168222,0.0
3801600,15.167572,0.0
3888000,15.166952,0.0
3974400,15.166359,0.0
4060800,15.165793,0.0
4147200,15.16525,0.0
4233600,15.16473,0.0
4320000,15.164231,0.0
4406400,15.163752,0.0
4492800,15.163292,0.0
4579200,15.16285,0.0
4665600,15.162425,0.0
4752000,15.162016,0.0
4838400,15.161621,0.0
4924800,15.161241,0.0
5011200,15.160875,0.0
5097600,15.160521,0.0
5184000,15.16018,0.0
5270400,15.159849,0.0
5356800,15.15953,0.0
5443200,15.159222,0.0
5529600,15.158923,0.0
5616000,15.158634,0.0
5702400,15.158354,0.0
5788800,15.158082,0.0
5875200,15.157819,0.0
5961600,15.157563,0.0
6048000,15.157315,0.0
6134400,15.157075,0.0
6220800,15.156841,0.0
6307200,15.156614,0.0
6393600,15.156393,0.0
6480000,15.156178,0.0
6566400,15.155969,0.0
6652800,15.155765,0.0
6739200,42.058212,4.558231685666456
6825600,37.461898,4.464627535263159
6912000,34.030285,4.230208285436565
6998400,31.766144,3.986846123105457
7084800,30.306964,3.715067053261712
7171200,29.350445,3.482875747634969
7257600,28.545935,3.441807925673694
7344000,27.747056,3.516249415416661
7430400,26.972975,3.5967458324521178
7516800,26.241145,3.667955720723784
7603200,25.646406,3.630173045899706
7689600,25.203691,3.529195283728116
7776000,24.894675,3.402788102872377
7862400,24.407398,3.5457009975551923
7948800,24.02026,3.498932878434146
8035200,23.861194,3.2974913496986984
8121600,23.632653,3.297042161886276
8208000,23.182437,3.482404763564096
8294400,22.745337,3.5441255620300884
8380800,22.413883,3.5039586766027853
8467200,22.279626,3.336470977604352
8553600,22.240835,3.2053082899419816
8640000,22.259724,3.090860930245699
8726400,22.300749,3.000286276966229
8812800,22.298263,2.961636731161457
8899200,22.113171,3.0454468735744045
8985600,21.671607,3.265208292545613
9072000,21.270989,3.3328107489496683
9158400,20.87171,3.4166979611507764
9244800,20.718048,3.4730787338243307
9331200,22.185743,3.582053099815799
9417600,23.413366,3.616506006663781
9504000,24.249196,3.6534059378545742
9590400,24.963216,3.730118370165062
9676800,25.534038,3.814533228673222
9763200,26.660758,3.877687257303908
9849600,27.249025,3.8441407211215712
9936000,25.663236,3.807619573275024
10022400,23.280953,3.477547830452552
10108800,22.053326,3.29610151211879
10195200,21.277557,3.2616277934914173
10281600,20.606545,3.3690085396454257
10368000,20.146317,3.34481152386246
10454400,19.828816,3.303904780931941
10540800,19.687246,3.1890201995339478
10627200,19.778988,2.9873677774847502
10713600,19.766733,2.982748306912418
10800000,19.625591,3.03974191975434
10886400,19.395683,3.113815850263283
10972800,19.098532,3.204674299746064
11059200,18.751321,3.3092811877126818
11145600,18.518796,3.284682578769648
11232000,18.42681,3.194134252322897
11318400,18.383129,3.1373255315909088
11404800,18.286112,3.1527749116864423
11491200,18.2042,3.13445190573318
11577600,18.132473,3.1163009894684928
11664000,18.019597,3.13790993376536
11750400,17.774213,3.2540883707856776
11836800,18.117391,3.368907983706868
11923200,20.074004,3.454559796026534
12009600,21.256655,3.549800082633347
12096000,21.35144,3.58168233132892
12182400,20.647782,3.5059084429607146
12268800,20.575155,3.457694937994909
12355200,21.658025,3.5225339443248327
12441600,21.914341,3.5808287238401872
12528000,22.693345,3.571126899429312
12614400,23.400406,3.699318211619311
12700800,22.661383,3.633355726835677
12787200,21.254908,3.491308078392247
12873600,21.287933,3.5381271745201914
12960000,23.050265,3.656937082358225
13046400,25.265116,3.8270971507643066
13132800,21.153799,0.0
13219200,19.580922,0.0
13305600,18.76107,0.0
13392000,18.265222,0.0
13478400,17.93743,0.0
13564800,34.846836,4.704654668488358
