Time,Temperature,cop
9590400,18.78974284,0.0
9676800,18.5768435,0.0
9763200,18.40078407,0.0
9849600,18.25052724,0.0
9936000,18.1192988,0.0
10022400,18.00273338,0.0
10108800,17.89787848,0.0
10195200,17.80264411,0.0
10281600,17.71548907,0.0
10368000,17.63523638,0.0
10454400,17.56096052,0.0
10540800,17.49191627,0.0
10627200,37.29670296,4.2329738297353465
10713600,32.32994506,3.751042855466297
10800000,28.91453171,3.594394943033428
10886400,27.99382557,3.6706194868508737
10972800,30.13346801,3.7602324827437528
11059200,24.21087244,0.0
11145600,21.81756146,0.0
11232000,20.54438086,0.0
11318400,19.77194307,0.0
11404800,19.26322787,0.0
11491200,18.90448403,0.0
11577600,18.63590259,0.0
11664000,18.42448421,0.0
11750400,18.25127671,0.0
11836800,18.10493985,0.0
11923200,17.97838894,0.0
12009600,17.86699797,0.0
12096000,17.7676126,0.0
12182400,17.67799271,0.0
12268800,17.59648823,0.0
12355200,17.52184453,0.0
12441600,17.45308176,0.0
12528000,17.3894174,0.0
12614400,17.33021499,0.0
12700800,17.2749489,0.0
12787200,17.22317958,0.0
12873600,17.17453547,0.0
12960000,17.12869968,0.0
13046400,17.08539978,0.0
13132800,17.04439992,0.0
13219200,17.00549468,0.0
13305600,16.96850409,0.0
13392000,16.93326971,0.0
13478400,16.89965137,0.0
13564800,16.86752453,0.0
13651200,16.83677806,0.0
13737600,16.80731244,0.0
13824000,16.77903822,0.0
13910400,16.75187472,0.0
13996800,16.72574896,0.0
14083200,16.70059469,0.0
14169600,16.67635163,0.0
14256000,16.65296475,0.0
14342400,16.63038371,0.0
14428800,16.60856235,0.0
14515200,16.58745822,0.0
14601600,16.56703221,0.0
14688000,16.54724822,0.0
14774400,16.52807284,0.0
14860800,16.5094751,0.0
14947200,16.49142625,0.0
15033600,16.47389956,0.0
15120000,16.4568701,0.0
15206400,16.44031461,0.0
15292800,16.42421137,0.0
15379200,16.40854004,0.0
15465600,16.39328155,0.0
15552000,16.37841803,0.0
15638400,16.36393266,0.0
15724800,16.34980965,0.0
15811200,16.33603411,0.0
15897600,16.322592,0.0
15984000,16.30947008,0.0
16070400,16.29665585,0.0
16156800,16.28413748,0.0
16243200,16.27190377,0.0
16329600,16.25994412,0.0
16416000,16.24824849,0.0
16502400,16.23680734,0.0
16588800,16.2256116,0.0
16675200,16.21465268,0.0
16761600,16.20392239,0.0
16848000,16.19341295,0.0
16934400,16.18311694,0.0
17020800,16.17302729,0.0
17107200,16.16313726,0.0
17193600,16.15344043,0.0
17280000,16.14393065,0.0
17366400,16.13460206,0.0
17452800,16.12544906,0.0
17539200,16.11646628,0.0
17625600,16.10764859,0.0
17712000,16.09899109,0.0
17798400,16.09048905,0.0
17884800,16.08213798,0.0
17971200,16.07393354,0.0
18057600,16.06587159,0.0
18144000,16.05794814,0.0
18230400,16.05015936,0.0
18316800,16.04250158,0.0
18403200,16.03497126,0.0
18489600,16.027565,0.0
18576000,16.02027954,0.0
18662400,16.01311172,0.0
18748800,16.00605852,0.0
18835200,15.999117,0.0
18921600,15.99228437,0.0
19008000,15.98555789,0.0
19094400,15.97893496,0.0
19180800,15.97241305,0.0
19267200,15.96598972,0.0
19353600,15.95966262,0.0
19440000,15.95342947,0.0
19526400,15.94728806,0.0
19612800,15.94123629,0.0
19699200,15.93527208,0.0
19785600,15.92939345,0.0
19872000,15.92359849,0.0
