dt,dt,T_feed,Q,heat_pump
115,2019-04-26,62.80416666666667,564.2572865,0.0
116,2019-04-27,64.85000000000001,760.8394587500001,0.0
117,2019-04-28,66.43333333333334,981.0046657500001,0.0
118,2019-04-29,66.29583333333333,1070.401535,0.0
119,2019-04-30,64.07916666666667,951.96499675,0.0
120,2019-05-01,64.02499999999999,886.72000625,0.0
121,2019-05-02,64.37083333333334,875.878252375,0.0
122,2019-05-03,66.075,994.634823375,0.0
123,2019-05-04,69.39583333333333,1325.90740575,525.90740575
124,2019-05-05,69.47500000000001,1472.6958270000002,672.6958270000002
125,2019-05-06,68.44166666666666,1478.40637875,678.4063787499999
126,2019-05-07,67.03333333333333,1367.3910613750002,567.3910613750002
127,2019-05-08,65.3,1139.852996625,339.85299662500006
128,2019-05-09,63.3125,922.808858875,0.0
129,2019-05-10,63.512499999999996,848.6525539999999,0.0
130,2019-05-11,64.89999999999999,896.61093275,0.0
131,2019-05-12,65.80833333333334,982.1868635000001,0.0
132,2019-05-13,65.4375,1009.860525,0.0
133,2019-05-14,65.6875,1054.5454803750001,0.0
134,2019-05-15,65.92083333333333,1078.53141275,0.0
135,2019-05-16,65.47083333333333,1066.0493880000001,0.0
136,2019-05-17,63.34583333333333,888.01964175,0.0
137,2019-05-18,62.00833333333333,648.2979716250001,0.0
138,2019-05-19,61.34583333333333,501.04690687500005,0.0
139,2019-05-20,60.958333333333336,490.33272674999995,0.0
140,2019-05-21,61.20416666666667,537.3515745,0.0
141,2019-05-22,62.25416666666666,604.4166927499999,0.0
142,2019-05-23,62.79583333333333,583.24800125,0.0
143,2019-05-24,61.800000000000004,491.007779625,0.0
144,2019-05-25,61.5875,515.995162125,0.0
145,2019-05-26,61.87083333333334,470.32295825,0.0
146,2019-05-27,60.40416666666667,446.606498875,0.0
147,2019-05-28,61.887499999999996,540.265518625,0.0
148,2019-05-29,63.13333333333333,627.698187375,0.0
149,2019-05-30,62.083333333333336,558.65440275,0.0
150,2019-05-31,60.07083333333333,415.39673187500006,0.0
151,2019-06-01,60.53333333333333,318.05711249999996,0.0
152,2019-06-02,60.229166666666664,238.49149575,0.0
153,2019-06-03,60.0,225.03058737499998,0.0
154,2019-06-04,60.07916666666667,220.81124287499998,0.0
155,2019-06-05,60.0,202.6171465,0.0
156,2019-06-06,60.17916666666667,273.73952375,0.0
157,2019-06-07,61.5,320.70084875000003,0.0
158,2019-06-08,60.291666666666664,376.8298795,0.0
159,2019-06-09,61.35833333333333,372.39053725,0.0
160,2019-06-10,60.0,330.731360375,0.0
161,2019-06-11,60.0375,326.61711025,0.0
162,2019-06-12,60.00833333333333,342.15169599999996,0.0
163,2019-06-13,60.5,332.272959125,0.0
164,2019-06-14,60.512499999999996,280.764155125,0.0
165,2019-06-15,60.0,260.0680295,0.0
166,2019-06-16,60.11666666666667,283.69514375,0.0
167,2019-06-17,60.57083333333333,265.039376375,0.0
168,2019-06-18,60.0,227.43061575000002,0.0
169,2019-06-19,60.0,205.122508,0.0
170,2019-06-20,60.0,229.470219625,0.0
171,2019-06-21,60.0875,263.907631875,0.0
172,2019-06-22,60.42916666666667,278.5965975,0.0
173,2019-06-23,60.04583333333333,249.00415862499997,0.0
174,2019-06-24,60.0,212.093411375,0.0
175,2019-06-25,60.0,184.16665875,0.0
176,2019-06-26,60.0,173.768872375,0.0
177,2019-06-27,60.0,194.949760875,0.0
178,2019-06-28,60.26666666666667,226.45580737499998,0.0
179,2019-06-29,60.31666666666666,210.774101625,0.0
180,2019-06-30,60.0,184.943369,0.0
181,2019-07-01,60.0,195.65359975,0.0
182,2019-07-02,60.1,239.15652824999998,0.0
183,2019-07-03,60.87916666666666,302.179843,0.0
184,2019-07-04,61.18333333333334,334.8498815,0.0
185,2019-07-05,60.0875,303.452683625,0.0
186,2019-07-06,60.11666666666667,282.9643025,0.0
187,2019-07-07,60.262499999999996,340.288490125,0.0
188,2019-07-08,61.2875,418.512708625,0.0
189,2019-07-09,61.5,468.12100074999995,0.0
190,2019-07-10,61.71666666666667,446.593182625,0.0
