dt,dt,T_feed,Q,heat_pump
99,2019-04-09,66.07916666666667,931.8401086518994,700.0
100,2019-04-10,67.97916666666667,1154.0580177884383,700.0
101,2019-04-11,69.74166666666666,1418.6071033474761,700.0
102,2019-04-12,71.14166666666667,1660.3123100468374,700.0
103,2019-04-13,71.72500000000001,1808.4146304473672,700.0
104,2019-04-14,70.32916666666667,1763.0110813872052,700.0
105,2019-04-15,66.62083333333332,1434.8433561675556,700.0
106,2019-04-16,65.25,1149.0137271751632,700.0
107,2019-04-17,63.61666666666667,901.436535767038,700.0
108,2019-04-18,62.791666666666664,683.186632292226,683.186632292226
109,2019-04-19,62.26666666666667,549.1053657559584,549.1053657559584
110,2019-04-20,62.625,512.9020398186424,512.9020398186424
111,2019-04-21,62.80833333333334,500.7670946442475,500.7670946442475
112,2019-04-22,62.2125,480.76501533390297,480.76501533390297
113,2019-04-23,61.50833333333333,466.73014321474943,466.73014321474943
114,2019-04-24,60.92916666666667,406.547058497481,406.547058497481
115,2019-04-25,62.10833333333333,414.5761573261034,414.5761573261034
116,2019-04-26,62.85,564.2572866073328,564.2572866073328
117,2019-04-27,64.89583333333333,760.8394587755041,700.0
118,2019-04-28,66.47916666666667,981.0046661159932,700.0
119,2019-04-29,66.35000000000001,1070.4015354429744,700.0
120,2019-04-30,64.10000000000001,951.9649967875904,700.0
121,2019-05-01,64.05833333333334,886.7200059490309,700.0
122,2019-05-02,64.41250000000001,875.8782525726896,700.0
123,2019-05-03,66.13333333333334,994.6348231336656,700.0
124,2019-05-04,69.45416666666667,1325.907405716103,700.0
125,2019-05-05,69.52083333333333,1472.6958269473325,700.0
126,2019-05-06,68.47500000000001,1478.4063790048995,700.0
127,2019-05-07,67.09583333333333,1367.39106126309,700.0
128,2019-05-08,65.35833333333333,1139.8529967031411,700.0
129,2019-05-09,63.35833333333333,922.8088587621031,700.0
130,2019-05-10,63.541666666666664,848.6525540330954,700.0
131,2019-05-11,64.9375,896.6109328944236,700.0
132,2019-05-12,65.85000000000001,982.1868634377034,700.0
133,2019-05-13,65.50416666666666,1009.8605254121236,700.0
134,2019-05-14,65.74166666666666,1054.5454804534731,700.0
135,2019-05-15,65.9875,1078.531412802194,700.0
136,2019-05-16,65.52083333333333,1066.049387879111,700.0
137,2019-05-17,63.36666666666667,888.0196414828666,700.0
138,2019-05-18,62.0375,648.2979714295933,648.2979714295933
139,2019-05-19,61.354166666666664,501.0469068791302,501.0469068791302
140,2019-05-20,60.98333333333333,490.3327267792509,490.3327267792509
141,2019-05-21,61.25416666666666,537.35157413067,537.35157413067
142,2019-05-22,62.291666666666664,604.4166924291015,604.4166924291015
143,2019-05-23,62.8125,583.2480011976637,583.2480011976637
144,2019-05-24,61.82916666666667,491.007779634929,491.007779634929
145,2019-05-25,61.60833333333333,515.995162007716,515.995162007716
146,2019-05-26,61.887499999999996,470.3229581713953,470.3229581713953
147,2019-05-27,60.43333333333334,446.60649881709315,446.60649881709315
148,2019-05-28,61.90833333333333,540.2655187473232,540.2655187473232
149,2019-05-29,63.17083333333333,627.6981873626918,627.6981873626918
150,2019-05-30,62.1,558.6544024769756,558.6544024769756
151,2019-05-31,60.07916666666667,415.39673192297346,415.39673192297346
152,2019-06-01,60.5625,318.0571126059026,318.0571126059026
153,2019-06-02,60.229166666666664,238.49149591435344,0.0
154,2019-06-03,60.0,225.03058752041355,0.0
155,2019-06-04,60.07916666666667,220.81124272937714,0.0
156,2019-06-05,60.0,202.61714645893804,0.0
157,2019-06-06,60.18333333333334,273.73952354007446,0.0
158,2019-06-07,61.525,320.700848639189,320.700848639189
159,2019-06-08,60.30833333333334,376.82987972724794,376.82987972724794
160,2019-06-09,61.38333333333333,372.3905373127505,372.3905373127505
161,2019-06-10,60.00416666666666,330.7313603863904,330.7313603863904
162,2019-06-11,60.04583333333333,326.61710988149684,326.61710988149684
163,2019-06-12,60.012499999999996,342.15169597481093,342.15169597481093
164,2019-06-13,60.512499999999996,332.272959387757,332.272959387757
165,2019-06-14,60.525,280.7641551202847,280.7641551202847
166,2019-06-15,60.0,260.0680295795416,0.0
